Order_ID,Customer_Name,Product,Category,Quantity,Unit_Price,Total_Amount,Payment_Method,Order_Status,Order_Date,Branch
ORD0001,William Wells,Donut,Cake,3,221.99,665.97,Credit Card,Completed,2026-02-18,Batangas
ORD0002,Robert Carrillo,Muffin,Dessert,1,438.26,438.26,Debit Card,Completed,2025-05-27,Cavite
ORD0003,Dr. Deborah Rush,Muffin,Bread,4,454.23,1816.92,GCash,Cancelled,2026-05-01,Manila
ORD0004,Rachel Morales,Brownie,Bread,4,469.11,1876.44,Credit Card,Pending,2025-09-02,Laguna
ORD0005,Ronnie Haynes,Chocolate Cake,Bread,1,157.62,157.62,Cash,Cancelled,2025-08-16,Laguna
ORD0006,Jessica Sparks,Banana Bread,Bread,5,215.81,1079.05,Debit Card,Cancelled,2025-07-20,Cavite
ORD0007,Ryan Kirk,Chocolate Cake,Bread,7,484.79,3393.53,Credit Card,Completed,2025-12-22,Laguna
ORD0008,Hannah Alvarez,Cookies,Cake,3,110.92,332.76,Debit Card,Pending,2026-05-03,Batangas
ORD0009,Christopher Rowe,Brownie,Bread,9,381.83,3436.47,GCash,Pending,2026-04-25,Laguna
ORD0010,Matthew Carpenter,Banana Bread,Pastry,7,225.61,1579.27,Debit Card,Completed,2025-06-01,Batangas
ORD0011,Christopher Allen,Croissant,Dessert,2,143.78,287.56,Cash,Pending,2025-09-02,Laguna
ORD0012,Melanie Hernandez,Baguette,Pastry,5,212.66,1063.3,GCash,Pending,2026-02-08,Laguna
ORD0013,Leah Gonzalez,Brownie,Bread,8,282.8,2262.4,Debit Card,Completed,2025-10-27,Batangas
ORD0014,Christopher Hampton,Donut,Cake,4,305.63,1222.52,Credit Card,Pending,2025-05-15,Cavite
ORD0015,Bryan Potter,Donut,Pastry,3,450.86,1352.58,Debit Card,Completed,2025-11-07,Batangas
ORD0016,Brandi Howard,Cookies,Pastry,5,242.0,1210.0,Cash,Cancelled,2025-09-16,Laguna
ORD0017,Eric Wagner,Baguette,Bread,3,470.77,1412.31,Credit Card,Pending,2025-12-09,Manila
ORD0018,Nicole King,Cheesecake,Bread,9,61.87,556.83,Credit Card,Cancelled,2025-05-23,Manila
ORD0019,Sharon Lewis,Cupcake,Cake,4,214.81,859.24,GCash,Completed,2026-01-22,Manila
ORD0020,Christina Hernandez,Cupcake,Dessert,3,135.5,406.5,Cash,Cancelled,2026-02-14,Laguna
ORD0021,Sarah Clark,Baguette,Cake,4,251.93,1007.72,Debit Card,Completed,2026-02-21,Batangas
ORD0022,Amy Payne,Cheesecake,Dessert,2,442.11,884.22,Debit Card,Cancelled,2026-02-28,Cavite
ORD0023,Aaron Wang,Muffin,Bread,9,83.33,749.97,GCash,Cancelled,2026-05-12,Laguna
ORD0024,Adrian Dixon,Muffin,Cake,9,80.14,721.26,GCash,Completed,2025-09-12,Batangas
ORD0025,Virginia Mccullough,Croissant,Cake,4,351.21,1404.84,Credit Card,Cancelled,2026-01-29,Laguna
ORD0026,James Garner,Donut,Dessert,2,74.13,148.26,Cash,Cancelled,2025-07-25,Batangas
ORD0027,Elijah Solis,Muffin,Cake,6,457.52,2745.12,Cash,Pending,2025-09-09,Batangas
ORD0028,Joshua Mckinney,Brownie,Dessert,8,397.25,3178.0,Debit Card,Cancelled,2026-01-31,Laguna
ORD0029,Alicia Hensley,Banana Bread,Pastry,10,155.25,1552.5,Debit Card,Pending,2026-01-17,Laguna
ORD0030,Bryan Leach,Banana Bread,Dessert,4,279.58,1118.32,Credit Card,Completed,2025-10-27,Laguna
ORD0031,Elizabeth Mcdonald,Cupcake,Cake,1,219.24,219.24,Credit Card,Cancelled,2025-06-11,Batangas
ORD0032,Roger Scott,Croissant,Pastry,6,230.2,1381.2,Debit Card,Pending,2026-02-03,Manila
ORD0033,Antonio Martinez,Cookies,Dessert,6,116.92,701.52,Cash,Cancelled,2026-03-01,Batangas
ORD0034,Cody Marsh,Muffin,Dessert,2,392.98,785.96,Cash,Completed,2026-04-19,Cavite
ORD0035,Kevin Burgess,Cheesecake,Cake,3,360.62,1081.86,Cash,Pending,2026-03-30,Cavite
ORD0036,Kenneth Ortiz,Baguette,Bread,5,381.41,1907.05,GCash,Pending,2025-11-11,Manila
ORD0037,Michael Green,Chocolate Cake,Cake,7,359.5,2516.5,Debit Card,Pending,2026-03-20,Batangas
ORD0038,Tracy Mcgee,Baguette,Bread,9,437.54,3937.86,Cash,Completed,2026-05-14,Cavite
ORD0039,Stephanie Reyes,Chocolate Cake,Bread,10,422.38,4223.8,GCash,Cancelled,2025-05-26,Manila
ORD0040,Barbara Crawford,Cheesecake,Dessert,1,241.48,241.48,GCash,Cancelled,2026-04-03,Batangas
ORD0041,Linda Anderson,Croissant,Pastry,2,54.24,108.48,Cash,Completed,2025-12-23,Laguna
ORD0042,Cole Ortega,Donut,Bread,5,370.88,1854.4,Debit Card,Completed,2026-01-04,Batangas
ORD0043,Shannon Carter,Muffin,Pastry,9,167.54,1507.86,Credit Card,Cancelled,2025-12-29,Manila
ORD0044,Maria Brooks,Brownie,Bread,3,480.86,1442.58,Credit Card,Cancelled,2025-10-05,Cavite
ORD0045,Tammy Smith,Brownie,Cake,7,391.55,2740.85,Credit Card,Completed,2025-05-31,Laguna
ORD0046,Gerald Small,Banana Bread,Pastry,5,218.14,1090.7,Debit Card,Pending,2025-08-30,Laguna
ORD0047,Samantha Snyder,Baguette,Dessert,8,294.09,2352.72,Credit Card,Completed,2026-04-28,Laguna
ORD0048,Laura Nelson,Brownie,Pastry,3,111.78,335.34,Debit Card,Completed,2026-04-17,Cavite
ORD0049,Stephen Harrison,Cheesecake,Cake,6,328.5,1971.0,Credit Card,Pending,2025-10-18,Laguna
ORD0050,Sabrina Garrett,Cupcake,Bread,6,247.56,1485.36,Debit Card,Cancelled,2025-06-06,Manila
ORD0051,Kimberly Hansen,Cookies,Dessert,1,232.45,232.45,Debit Card,Completed,2025-08-30,Batangas
ORD0052,David Howard,Baguette,Bread,3,451.95,1355.85,Debit Card,Cancelled,2025-12-25,Batangas
ORD0053,Christopher Orozco,Cheesecake,Dessert,1,178.64,178.64,Debit Card,Pending,2025-06-26,Manila
ORD0054,Dana Rodriguez,Cookies,Dessert,7,309.69,2167.83,Debit Card,Cancelled,2025-06-10,Batangas
ORD0055,Teresa Steele,Brownie,Cake,6,138.76,832.56,Cash,Completed,2026-03-15,Laguna
ORD0056,Jacqueline Fletcher,Donut,Cake,6,222.61,1335.66,GCash,Cancelled,2025-08-27,Manila
ORD0057,Bob Blanchard,Croissant,Dessert,7,139.25,974.75,Debit Card,Pending,2025-09-04,Cavite
ORD0058,Kyle Wallace,Chocolate Cake,Pastry,3,340.7,1022.1,Debit Card,Cancelled,2026-01-17,Cavite
ORD0059,Sara Rhodes,Baguette,Bread,5,167.47,837.35,Credit Card,Completed,2025-06-25,Cavite
ORD0060,Steven Rios,Baguette,Pastry,5,171.39,856.95,Credit Card,Completed,2026-02-13,Manila
